//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
7           1      15      0     0       1      1        0
8           1      15      0     0       1      1        0
9           1      15      0     0       1      1        0
10          1      15      0     0       1      1        0
11          1      15      0     0       1      1        0
7           6      15      0     0       1      1        0
8           6      15      0     0       1      1        0
9           6      15      0     0       1      1        0
10          6      15      0     0       1      1        0
11          6      15      0     0       1      1        0
0           19     15      0     1       1      1        0
12          7      0       0     0       0      0        0
12          13     0       0     0       0      0        0
12          14     0       0     0       0      0        0
12          19     0       0     0       0      0        0
12          12     0       0     0       0      0        0
12          44     0       0     0       0      0        0
0           31     15      0     1       1      7        0
12          16     0       0     0       0      0        0
12          47     0       0     0       0      0        0
15          29     0       0     0       0      0        0
12          476    0       0     0       0      0        0
12          477    0       0     0       0      0        0
12          478    0       0     0       0      0        0
12          479    0       0     0       0      0        0
12          482    0       0     0       0      0        0
0           66     15      0     1       1      7        0
7           174    15      0     0       1      7        0
8           174    15      0     0       1      7        0
9           174    15      0     0       1      7        0
10          174    15      0     0       1      7        0
11          174    15      0     0       1      7        0
end

