//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
14          3      0       255   0       0      0        0
14          6      0       255   0       0      0        0
14          40     0       255   0       0      0        0
14          68     0       0     0       0      0        0
14          23     0       0     0       0      0        0
14          24     0       0     0       0      0        0
14          25     0       0     0       0      0        0
14          26     0       4     0       0      0        0
14          163    0       0     0       0      0        0
14          162    0       0     0       0      0        0
12          0      0       0     0       0      0        0
12          1      0       0     0       0      0        0
12          2      0       0     0       0      0        0
12          41     0       0     0       0      0        0
13          29     0       0     0       0      0        0
13          47     1       0     0       0      0        0
13          47     2       0     0       0      0        0
13          47     3       0     0       0      0        0
13          47     4       0     0       0      0        0
13          47     5       0     0       0      0        0
13          47     6       0     0       0      0        0
13          47     7       0     0       0      0        0
13          47     8       0     0       0      0        0
13          46     1       0     0       0      0        0
13          46     2       0     0       0      0        0
13          46     3       0     0       0      0        0
13          46     4       0     0       0      0        0
13          46     5       0     0       0      0        0
13          46     6       0     0       0      0        0
13          46     7       0     0       0      0        0
13          46     8       0     0       0      0        0
13          155    0       0     0       0      0        0
end
