//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
7           2      15       0     0       1      1        0
8           2      15       0     0       1      1        0
9           2      15       0     0       1      1        0
10          2      15       0     0       1      1        0
11          2      15       0     0       1      1        0
7           4      15       0     0       1      1        0
8           4      15       0     0       1      1        0
9           4      15       0     0       1      1        0
10          4      15       0     0       1      1        0
11          4      15       0     0       1      1        0
7           7      15       0     0       1      1        0
8           7      15       0     0       1      1        0
9           7      15       0     0       1      1        0
10          7      15       0     0       1      1        0
11          7      15       0     0       1      1        0
5           3      15       0     0       1      1        0
5           0      15       0     0       1      1        0
5           1      15       0     0       1      1        0
15          3      0       1     0       0      0        0
15          10     0       1     0       0      0        0
15          2      0       1     0       0      0        0
15          1      0       1     0       0      0        0
15          5      0       1     0       0      0        0
15          6      0       1     0       0      0        0
15          0      0       1     0       0      0        0
15          4      0       1     0       0      0        0
15          7      0       1     0       0      0        0
15          8      0       1     0       0      0        0
15          9      0       1     0       0      0        0
15          10     0       1     0       0      0        0
15          11     0       1     0       0      0        0
15          12     0       1     0       0      0        0
15          13     0       1     0       0      0        0
15          14     0       1     0       0      0        0
15          15     0       1     0       0      0        0
15          16     0       1     0       0      0        0
15          17     0       1     0       0      0        0
15          18     0       1     0       0      0        0
end

