//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
7           59     15      0     0       1      7        0
8           59     15      0     0       1      7        0
9           59     15      0     0       1      7        0
10          59     15      0     0       1      7        0
11          59     15      0     0       1      7        0
0           32     15      0     1       1      7        0
15          30     0       0     0       0      0        0
15          31     0       0     0       0      0        0
15          32     0       0     0       0      0        0
15          33     0       0     0       0      0        0
15          34     0       0     0       0      0        0
15          35     0       0     0       0      0        0
15          36     0       0     0       0      0        0
end

