//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
7           26     15      0     0       0      0        0
8           26     15      0     0       0      0        0
9           26     15      0     0       0      0        0
10          26     15      0     0       0      0        0
11          26     15      0     0       0      0        0
12          21     0       0     0       0      0        0
12          22     0       0     0       0      0        0
12          23     0       0     0       0      0        0
12          24     0       0     0       0      0        0
12          35     0       0     0       0      0        0
12          48     0       0     0       0      0        0
2           8      15      0     0       0      0        0
7           91     15      0     0       0      0        0
8           91     15      0     0       0      0        0
9           91     15      0     0       0      0        0
10          91     15      0     0       0      0        0
11          91     15      0     0       0      0        0
3           17     15      0     0       0      0        0
12          271    0       0     0       0      0        0
12          272    0       0     0       0      0        0
12          273    0       0     0       0      0        0
12          274    0       0     0       0      0        0
12          275    0       0     0       0      0        0
12          276    0       0     0       0      0        0
12          277    0       0     0       0      0        0
end

