//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
5           15     15      0     0       1      7        0
7           65     15      0     0       1      7        0
8           65     15      0     0       1      7        0
9           65     15      0     0       1      7        0
10          65     15      0     0       1      7        0
11          65     15      0     0       1      7        0
15          19     0       0     0       0      0        0
15          20     0       0     0       0      0        0
15          21     0       0     0       0      0        0
15          22     0       0     0       0      0        0
15          23     0       0     0       0      0        0
15          24     0       0     0       0      0        0
15          25     0       0     0       0      0        0
15          26     0       0     0       0      0        0
15          27     0       0     0       0      0        0
4           43     15      0     1       1      7        0
7           209    15      0     0       1      7        0
8           209    15      0     0       1      7        0
9           209    15      0     0       1      7        0
10          209    15      0     0       1      7        0
11          209    15      0     0       1      7        0
12          491    0       0     0       0      0        0
12          492    0       0     0       0      0        0
12          493    0       0     0       0      0        0
12          494    0       0     0       0      0        0
12          495    0       0     0       0      0        0
12          498    0       0     0       0      0        0
end
