00:00:19 [AccountInfo] Account connected (Account: fcavallo, IpAddress: 167.57.166.190, GameServerCode: 20)
00:01:21 [AccountInfo] Account connected (Account: Kherow, IpAddress: 167.62.249.127, GameServerCode: 20)
00:04:42 [AccountInfo] Account connected (Account: Shuki, IpAddress: 167.58.233.89, GameServerCode: 20)
00:06:06 [AccountInfo] Account disconnected (Account: admin, IpAddress: 186.52.247.155, GameServerCode: 20)
00:06:12 [AccountInfo] Account connected (Account: admin, IpAddress: 186.52.247.155, GameServerCode: 20)
00:06:39 [AccountInfo] Account disconnected (Account: admin, IpAddress: 186.52.247.155, GameServerCode: 20)
00:07:04 [AccountInfo] Account connected (Account: admin, IpAddress: 186.52.247.155, GameServerCode: 20)
00:09:37 [AccountInfo] Account disconnected (Account: admin, IpAddress: 186.52.247.155, GameServerCode: 20)
00:09:57 [AccountInfo] Account connected (Account: admin, IpAddress: 186.52.247.155, GameServerCode: 20)
00:23:39 [AccountInfo] Account disconnected (Account: Kherow, IpAddress: 167.62.249.127, GameServerCode: 20)
00:29:38 [AccountInfo] Account connected (Account: Kherow, IpAddress: 167.62.103.165, GameServerCode: 20)
00:51:19 [AccountInfo] Account disconnected (Account: fcavallo, IpAddress: 167.57.166.190, GameServerCode: 20)
00:52:38 [AccountInfo] Account disconnected (Account: munky, IpAddress: 186.50.35.179, GameServerCode: 20)
00:53:34 [AccountInfo] Account connected (Account: munky, IpAddress: 186.50.35.179, GameServerCode: 20)
00:55:23 [AccountInfo] Account disconnected (Account: alekzezz, IpAddress: 190.134.68.207, GameServerCode: 20)
00:55:56 [AccountInfo] Account disconnected (Account: Shuki, IpAddress: 167.58.233.89, GameServerCode: 20)
00:56:17 [AccountInfo] Account connected (Account: Shuki, IpAddress: 167.58.233.89, GameServerCode: 20)
00:58:13 [AccountInfo] Account connected (Account: alekzezz, IpAddress: 190.134.68.207, GameServerCode: 20)
01:06:40 [AccountInfo] Account disconnected (Account: shiki, IpAddress: 167.57.95.143, GameServerCode: 20)
01:06:59 [AccountInfo] Account connected (Account: shiki, IpAddress: 167.57.95.143, GameServerCode: 20)
01:07:49 [AccountInfo] Account disconnected (Account: alekzezz, IpAddress: 190.134.68.207, GameServerCode: 20)
01:08:16 [AccountInfo] Account connected (Account: alekzezz, IpAddress: 190.134.68.207, GameServerCode: 20)
01:18:24 [AccountInfo] Account disconnected (Account: M0nia, IpAddress: 186.48.159.14, GameServerCode: 20)
01:22:31 [AccountInfo] Account disconnected (Account: Tenshi, IpAddress: 167.60.106.88, GameServerCode: 20)
01:22:53 [AccountInfo] Account disconnected (Account: kevinrx, IpAddress: 186.50.8.131, GameServerCode: 20)
01:23:16 [AccountInfo] Account connected (Account: Tenshi, IpAddress: 167.60.106.88, GameServerCode: 20)
01:24:03 [AccountInfo] Account connected (Account: kevinrx, IpAddress: 186.50.8.131, GameServerCode: 20)
01:26:59 [AccountInfo] Account disconnected (Account: Kherow, IpAddress: 167.62.103.165, GameServerCode: 20)
01:27:49 [AccountInfo] Account connected (Account: Kherow, IpAddress: 167.62.103.165, GameServerCode: 20)
01:32:52 [AccountInfo] Account disconnected (Account: alekzezz, IpAddress: 190.134.68.207, GameServerCode: 20)
01:33:36 [AccountInfo] Account connected (Account: alekzezz, IpAddress: 190.134.68.207, GameServerCode: 20)
01:36:15 [AccountInfo] Account disconnected (Account: alekzezz, IpAddress: 190.134.68.207, GameServerCode: 20)
01:36:38 [AccountInfo] Account connected (Account: alekzezz, IpAddress: 190.134.68.207, GameServerCode: 20)
01:42:57 [AccountInfo] Account disconnected (Account: Tenshi, IpAddress: 167.60.106.88, GameServerCode: 20)
01:43:22 [AccountInfo] Account connected (Account: Tenshi, IpAddress: 167.60.106.88, GameServerCode: 20)
02:17:39 [AccountInfo] Account disconnected (Account: Tenshi, IpAddress: 167.60.106.88, GameServerCode: 20)
02:17:44 [AccountInfo] Account connected (Account: Tenshi, IpAddress: 167.60.106.88, GameServerCode: 20)
